itemID,name,itemDur
1,Stone,
2,Grass,
3,Dirt,
4,Cobblestone,
5,"Wooden Plank (Oak)",
5,"Wooden Plank (Spruce)",1
5,"Wooden Plank (Birch)",2
5,"Wooden Plank (Jungle)",3
6,"Sapling (Oak)",
6,"Sapling (Spruce)",1
6,"Sapling (Birch)",2
6,"Sapling (Jungle)",3
7,Bedrock,
8,Water,
9,"Water (No Spread)",
10,Lava,
11,"Lava (No Spread)",
12,Sand,
13,Gravel,
14,"Gold Ore",
15,"Iron Ore",
16,"Coal Ore",
17,"Wood (Oak)",
17,"Wood (Spruce)",1
17,"Wood (Birch)",2
17,"Wood (Jungle)",3
18,"Leaves (Oak)",
18,"Leaves (Spruce)",1
18,"Leaves (Birch)",2
18,"Leaves (Jungle)",3
19,Sponge,
20,Glass,
21,"Lapis Lazuli Ore",
22,"Lapis Lazuli Block",
23,Dispenser,
24,Sandstone,
24,"Sandstone (Chiseled)",1
24,"Sandstone (Smooth)",2
25,"Note Block",
26,"Bed (Block)",
27,"Powered Rail",
28,"Detector Rail",
29,"Sticky Piston",
30,Web,
31,"Tall Grass (Dead Shrub)",
31,"Tall Grass",1
31,"Tall Grass (Fern)",2
32,"Dead Shrub",
33,Piston,
34,"Piston (Head)",
35,Wool,
35,"Orange Wool",1
35,"Magenta Wool",2
35,"Light Blue Wool",3
35,"Yellow Wool",4
35,"Lime Wool",5
35,"Pink Wool",6
35,"Gray Wool",7
35,"Light Gray Wool",8
35,"Cyan Wool",9
35,"Purple Wool",10
35,"Blue Wool",11
35,"Brown Wool",12
35,"Green Wool",13
35,"Red Wool",14
35,"Black Wool",15
36,"Piston (Moving)",
37,Dandelion,
38,Rose,
39,"Brown Mushroom",
40,"Red Mushroom",
41,"Block of Gold",
42,"Block of Iron",
43,"Stone Slab (Double)",
43,"Sandstone Slab (Double)",1
43,"Wooden Slab (Double)",2
43,"Cobblestone Slab (Double)",3
43,"Brick Slab (Double)",4
43,"Stone Brick Slab (Double)",5
44,"Stone Slab",
44,"Sandstone Slab",1
44,"Wooden Slab",2
44,"Cobblestone Slab",3
44,"Brick Slab",4
44,"Stone Brick Slab",5
45,Brick,
46,TNT,
47,Bookcase,
48,"Moss Stone",
49,Obsidian,
50,Torch,
51,Fire,
52,"Mob Spawner",
53,"Wooden Stairs (Oak)",
54,Chest,
55,"Redstone Wire",
56,"Diamond Ore",
57,"Block of Diamond",
58,Workbench,
59,"Wheat (Crop)",
60,Farmland,
61,Furnace,
62,"Furnace (Smelting)",
63,"Sign (Block)",
64,"Wood Door (Block)",
65,Ladder,
66,Rail,
67,"Cobblestone Stairs",
68,"Sign (Wall Block)",
69,Lever,
70,"Stone Pressure Plate",
71,"Iron Door (Block)",
72,"Wooden Pressure Plate",
73,"Redstone Ore",
74,"Redstone Ore (Glowing)",
75,"Redstone Torch (Off)",
76,"Redstone Torch",
77,"Button (Stone)",
78,Snow,
79,Ice,
80,"Snow Block",
81,Cactus,
82,"Clay Block",
83,"Sugar Cane (Block)",
84,Jukebox,
85,Fence,
86,Pumpkin,
87,Netherrack,
88,"Soul Sand",
89,Glowstone,
90,Portal,
91,Jack-O-Lantern,
92,"Cake (Block)",
93,"Redstone Repeater (Block Off)",
94,"Redstone Repeater (Block On)",
95,"Locked Chest",
96,Trapdoor,
97,"Silverfish Stone",
97,"Silverfish Cobblestone",1
97,"Silverfish Stone Brick",2
98,"Stone Bricks",
98,"Mossy Stone Bricks",1
98,"Cracked Stone Bricks",2
98,"Chiseled Stone Brick",3
99,"Brown Mushroom (Block)",
100,"Red Mushroom (Block)",
101,"Iron Bars",
102,"Glass Pane",
103,"Melon (Block)",
104,"Pumpkin Vine",
105,"Melon Vine",
106,Vines,
107,"Fence Gate",
108,"Brick Stairs",
109,"Stone Brick Stairs",
110,Mycelium,
111,"Lily Pad",
112,"Nether Brick",
113,"Nether Brick Fence",
114,"Nether Brick Stairs",
115,"Nether Wart",
116,"Enchantment Table",
117,"Brewing Stand (Block)",
118,"Cauldron (Block)",
119,"End Portal",
120,"End Portal Frame",
121,"End Stone",
122,"Dragon Egg",
123,"Redstone Lamp",
124,"Redstone Lamp (On)",
125,"Oak-Wood Slab (Double)",
125,"Spruce-Wood Slab (Double)",1
125,"Birch-Wood Slab (Double)",2
125,"Jungle-Wood Slab (Double)",3
126,"Oak-Wood Slab",
126,"Spruce-Wood Slab",1
126,"Birch-Wood Slab",2
126,"Jungle-Wood Slab",3
127,"Coca Plant",
128,"Sandstone Stairs",
129,"Emerald Ore",
130,"Ender Chest",
131,"Tripwire Hook",
132,Tripwire,
133,"Block of Emerald",
134,"Wooden Stairs (Spruce)",
135,"Wooden Stairs (Birch)",
136,"Wooden Stairs (Jungle)",
137,"Command Block",
138,Beacon,
139,"Cobblestone Wall",
139,"Mossy Cobblestone Wall",1
140,"Flower Pot (Block)",
141,"Carrot (Crop)",
142,"Potatoes (Crop)",
143,"Button (Wood)",
144,"Head Block (Skeleton)",
144,"Head Block (Wither)",1
144,"Head Block (Zombie)",2
144,"Head Block (Steve)",3
144,"Head Block (Creeper)",4
145,Anvil,
256,"Iron Shovel",
257,"Iron Pickaxe",
258,"Iron Axe",
259,"Flint and Steel",
260,Apple,
261,Bow,
262,Arrow,
263,Coal,
263,Charcoal,1
264,"Diamond Gem",
265,"Iron Ingot",
266,"Gold Ingot",
267,"Iron Sword",
268,"Wooden Sword",
269,"Wooden Shovel",
270,"Wooden Pickaxe",
271,"Wooden Axe",
272,"Stone Sword",
273,"Stone Shovel",
274,"Stone Pickaxe",
275,"Stone Axe",
276,"Diamond Sword",
277,"Diamond Shovel",
278,"Diamond Pickaxe",
279,"Diamond Axe",
280,Stick,
281,Bowl,
282,"Mushroom Stew",
283,"Gold Sword",
284,"Gold Shovel",
285,"Gold Pickaxe",
286,"Gold Axe",
287,String,
288,Feather,
289,Gunpowder,
290,"Wooden Hoe",
291,"Stone Hoe",
292,"Iron Hoe",
293,"Diamond Hoe",
294,"Gold Hoe",
295,"Wheat Seeds",
296,Wheat,
297,Bread,
298,"Leather Helmet",
299,"Leather Chestplate",
300,"Leather Leggings",
301,"Leather Boots",
302,"Chainmail Helmet",
303,"Chainmail Chestplate",
304,"Chainmail Leggings",
305,"Chainmail Boots",
306,"Iron Helmet",
307,"Iron Chestplate",
308,"Iron Leggings",
309,"Iron Boots",
310,"Diamond Helmet",
311,"Diamond Chestplate",
312,"Diamond Leggings",
313,"Diamond Boots",
314,"Gold Helmet",
315,"Gold Chestplate",
316,"Gold Leggings",
317,"Gold Boots",
318,Flint,
319,"Raw Porkchop",
320,"Cooked Porkchop",
321,Painting,
322,"Gold Apple",
323,Sign,
324,"Wooden Door",
325,Bucket,
326,"Bucket (Water)",
327,"Bucket (Lava)",
328,Minecart,
329,Saddle,
330,"Iron Door",
331,"Redstone Dust",
332,Snowball,
333,Boat,
334,Leather,
335,"Bucket (Milk)",
336,"Clay Brick",
337,Clay,
338,"Sugar Cane",
339,Paper,
340,Book,
341,"Slime Ball",
342,"Storage Minecart",
343,"Powered Minecart",
344,Egg,
345,Compass,
346,"Fishing Rod",
347,Watch,
348,"Glowstone Dust",
349,"Raw Fish",
350,"Cooked Fish",
351,"Ink Sack",
351,"Rose Red Dye",1
351,"Cactus Green Dye",2
351,"Coca Bean",3
351,"Lapis Lazuli",4
351,"Purple Dye",5
351,"Cyan Dye",6
351,"Light Gray Dye",7
351,"Gray Dye",8
351,"Pink Dye",9
351,"Lime Dye",10
351,"Dandelion Yellow Dye",11
351,"Light Blue Dye",12
351,"Magenta Dye",13
351,"Orange Dye",14
351,"Bone Meal",15
352,Bone,
353,Sugar,
354,Cake,
355,Bed,
356,"Redstone Repeater",
357,Cookie,
358,Map,
359,Shears,
360,"Melon (Slice)",
361,"Pumpkin Seeds",
362,"Melon Seeds",
363,"Raw Beef",
364,Steak,
365,"Raw Chicken",
366,"Cooked Chicken",
367,"Rotten Flesh",
368,"Ender Pearl",
369,"Blaze Rod",
370,"Ghast Tear",
371,"Gold Nugget",
372,"Nether Wart Seeds",
373,"Water Bottle",
373,"Awkward Potion",16
373,"Thick Potion",32
373,"Mundane Potion",64
373,"Regeneration Potion (0:45)",8193
373,"Swiftness Potion (3:00)",8194
373,"Fire Resistance Potion (3:00)",8195
373,"Poison Potion (0:45)",8196
373,"Healing Potion",8197
373,"Night Vision Potion (3:00)",8198
373,"Weakness Potion (1:30)",8200
373,"Strength Potion (3:00)",8201
373,"Slowness Potion (1:30)",8202
373,"Harming Potion",8204
373,"Invisibility Potion (3:00)",8206
373,"Regeneration Potion II (0:22)",8225
373,"Swiftness Potion II (1:30)",8226
373,"Poison Potion II (0:22)",8228
373,"Healing Potion II",8229
373,"Strength Potion II (1:30)",8233
373,"Harming Potion II",8236
373,"Regeneration Potion (2:00)",8257
373,"Swiftness Potion (8:00)",8258
373,"Fire Resistance Potion (8:00)",8259
373,"Poison Potion (2:00)",8260
373,"Night Vision Potion (8:00)",8262
373,"Weakness Potion (4:00)",8264
373,"Strength Potion (8:00)",8265
373,"Slowness Potion (4:00)",8266
373,"Invisibility Potion (8:00)",8270
373,"Regeneration Splash (0:33)",16385
373,"Swiftness Splash (2:15)",16386
373,"Fire Resistance Splash (2:15)",16387
373,"Poison Splash (0:33)",16388
373,"Healing Splash",16389
373,"Night Vision Splash (2:15)",16390
373,"Weakness Splash (1:07)",16392
373,"Strength Splash (2:15)",16393
373,"Slowness Splash (1:07)",16394
373,"Harming Splash",16396
373,"Invisibility Splash (2:15)",16398
373,"Regeneration Splash II (0:16)",16417
373,"Swiftness Splash II (1:07)",16418
373,"Poison Splash II (0:16)",16420
373,"Healing Splash II",16421
373,"Strength Splash II (1:07)",16425
373,"Harming Splash II",16428
373,"Regeneration Splash (1:30)",16449
373,"Swiftness Splash (6:00)",16450
373,"Fire Resistance Splash (6:00)",16451
373,"Poison Splash (1:30)",16452
373,"Night Vision Splash (6:00)",16454
373,"Weakness Splash (3:00)",16456
373,"Strength Splash (6:00)",16457
373,"Slowness Splash (3:00)",16458
373,"Invisibility Splash (6:00)",16462
374,"Glass Bottle",
375,"Spider Eye",
376,"Fermented Spider Eye",
377,"Blaze Powder",
378,"Magma Cream",
379,"Brewing Stand",
380,Cauldron,
381,"Eye of Ender",
382,"Glistering Melon (Slice)",
383,"Spawn Egg (Creeper)",50
383,"Spawn Egg (Skeleton)",51
383,"Spawn Egg (Spider)",52
383,"Spawn Egg (Zombie)",54
383,"Spawn Egg (Slime)",55
383,"Spawn Egg (Ghast)",56
383,"Spawn Egg (Zombie Pigmen)",57
383,"Spawn Egg (Endermen)",58
383,"Spawn Egg (Cave Spider)",59
383,"Spawn Egg (Silverfish)",60
383,"Spawn Egg (Blaze)",61
383,"Spawn Egg (Magma Cube)",62
383,"Spawn Egg (Bat)",65
383,"Spawn Egg (Witch)",66
383,"Spawn Egg (Pig)",90
383,"Spawn Egg (Sheep)",91
383,"Spawn Egg (Cow)",92
383,"Spawn Egg (Chicken)",93
383,"Spawn Egg (Squid)",94
383,"Spawn Egg (Wolf)",95
383,"Spawn Egg (Mooshroom)",96
383,"Spawn Egg (Ocelot)",98
383,"Spawn Egg (Villager)",120
384,"Bottle of Enchanting",
385,"Fire Charge",
386,"Book and Quill",
387,"Written Book",
388,Emerald,
389,"Item Frame",
390,"Flower Pot",
391,Carrot,
392,Potato,
393,"Baked Potato",
394,"Poisonous Potato",
395,"Empty Map",
396,"Golden Carrot",
397,"Head (Skeleton)",
397,"Head (Wither)",1
397,"Head (Zombie)",2
397,"Head (Steve)",3
397,"Head (Creeper)",4
398,"Carrot on a Stick",
399,"Nether Star",
400,"Pumpkin Pie",
2256,"Music Disk (13)",
2257,"Music Disk (Cat)",
2258,"Music Disk (Blocks)",
2259,"Music Disk (Chirp)",
2260,"Music Disk (Far)",
2261,"Music Disk (Mall)",
2262,"Music Disk (Mellohi)",
2263,"Music Disk (Stal)",
2264,"Music Disk (Strad)",
2265,"Music Disk (Ward)",
2266,"Music Disk (11)",
